rid,pid,pnumber,name,
1,1,60000,6万金币,商城
2,1,120000,12万金币,
3,1,300000,30万金币,
4,1,680000,68万金币,
5,1,1080000,108万金币,
6,1,1980000,198万金币,
7,1,10000,赠1万,
8,1,30000,赠3万,
9,1,70000,赠7万,
10,1,120000,赠12万,
11,1,220000,赠22万,
12,3,1,1张房卡,
13,3,5,5张房卡,
14,3,20,20张房卡,
15,3,50,50张房卡,
16,10,5,5元,
17,10,22,22元,
18,10,80,80元,
19,10,180,180元,
20,10,6,6元,
21,10,12,12元,
22,10,30,30元,
23,10,68,68元,
24,10,108,108元,
25,10,198,198元,
26,1,2000,完成任务即可获得1000金币,任务
27,1,3000,完成任务即可获得2000金币,
28,1,5000,完成任务即可获得5000金币,
29,1,10000,完成任务即可获得10000金币,
30,1,20000,完成任务即可获得20000金币,
31,1,88888,完成手机注册即可获得88888金币,
32,1,66666,66666金币,实名认证
33,3,1,1张房卡,
34,3,1,4张房卡,首充
35,1,60000,10万金币,
36,1,666,,转盘
37,1,888,,
38,1,1288,,
39,1,1888,,
40,1,2688,,
41,1,3888,,
42,1,5888,,
43,1,6888,,
44,1,8888,,
45,1,12888,,
46,1,38888,,
47,1,58888,,
48,1,2000,,签到奖励2
49,1,3000,,3
50,1,5000,,5
51,1,8000,,7
52,1,12888,,11
53,1,15888,,14
54,1,25888,,21
55,1,38888,,30
56,4,50,50元话费券,兑换
57,4,100,100元话费券,
58,5,1,1个喇叭,
60,3,1,1张房卡,
61,1,2000000,,
62,1,4000000,,
63,1,50000,,
64,1,100000,,
65,10,10,10元,
66,1,100000,10万金币,
67,1,100000,赠10万,
68,3,2,2张房卡,
